Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Q605Memory.cpp                               552                89    83.88%          42                 5    88.10%         671               109    83.76%         420               122    70.95%
Q605Memory.h                                  77                55    28.57%          63                49    22.22%         134               110    17.91%          12                 8    33.33%
Q630Cpu.cpp                                   45                16    64.44%          10                 1    90.00%          71                10    85.92%          28                13    53.57%
Q630Cpu.h                                      3                 2    33.33%           3                 2    33.33%           6                 5    16.67%           0                 0         -
Q630Memory.cpp                               522                80    84.67%          38                 3    92.11%         562                46    91.81%         398               105    73.62%
Q630Memory.h                                  76                55    27.63%          62                49    20.97%         133               110    17.29%          12                 8    33.33%
Q700Cpu.cpp                                   45                16    64.44%          10                 1    90.00%          71                10    85.92%          28                13    53.57%
Q700Cpu.h                                      3                 2    33.33%           3                 2    33.33%           6                 5    16.67%           0                 0         -
Q700Memory.cpp                               760               279    63.29%          58                22    62.07%         895               366    59.11%         552               260    52.90%
Q700Memory.h                                  88                65    26.14%          66                53    19.70%         135               110    18.52%          18                13    27.78%
R65c02.cpp                                   300               102    66.00%         118                26    77.97%         763               217    71.56%         140                62    55.71%
R65c02.h                                      43                42     2.33%          23                22     4.35%          47                46     2.13%          16                16     0.00%
RbvCpu.cpp                                    65                17    73.85%           9                 0   100.00%          74                 7    90.54%          46                18    60.87%
RbvCpu.h                                       4                 3    25.00%           3                 2    33.33%          10                 7    30.00%           0                 0         -
RbvMemory.cpp                                441               120    72.79%          28                 7    75.00%         479               117    75.57%         326               120    63.19%
RbvMemory.h                                   88                50    43.18%          61                41    32.79%         134                98    26.87%          24                14    41.67%
RbvVideo.h                                    55                26    52.73%           9                 3    66.67%          96                43    55.21%          42                22    47.62%
Rtc.cpp                                      114                32    71.93%           7                 2    71.43%         113                18    84.07%          90                29    67.78%
Rtc.h                                          8                 3    62.50%           8                 3    62.50%          14                 6    57.14%           0                 0         -
RuntimeConfig.cpp                            108               108     0.00%          12                12     0.00%         167               167     0.00%          88                88     0.00%
RuntimeConfig.h                               14                14     0.00%          14                14     0.00%          22                22     0.00%           0                 0         -
RuntimeConfigCore.cpp                         66                66     0.00%           3                 3     0.00%         151               151     0.00%          60                60     0.00%
RuntimeConfigMachine.cpp                      79                79     0.00%           3                 3     0.00%          89                89     0.00%          92                92     0.00%
RuntimeConfigProduct.cpp                       8                 8     0.00%           1                 1     0.00%          37                37     0.00%           6                 6     0.00%
SaveState.cpp                                 81                81     0.00%           8                 8     0.00%          93                93     0.00%          56                56     0.00%
SaveState.h                                   40                40     0.00%          19                19     0.00%          46                46     0.00%           8                 8     0.00%
SaveStateMachines.cpp                         69                69     0.00%           5                 5     0.00%         107               107     0.00%          48                48     0.00%
SaveStateSlot.h                               58                58     0.00%           7                 7     0.00%          98                98     0.00%          34                34     0.00%
Scc8530.cpp                                  703               351    50.07%          25                 5    80.00%         605               251    58.51%         628               358    42.99%
Scc8530.h                                     35                19    45.71%          23                16    30.43%          37                28    24.32%          12                 5    58.33%
ScsiDisk.cpp                                 738               549    25.61%          28                14    50.00%         872               642    26.38%         638               504    21.00%
ScsiDisk.h                                    31                23    25.81%          12                 8    33.33%          33                22    33.33%          14                12    14.29%
