sniffing 239.192.76.84:1954 for 60s
23:26:05 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:06 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:06 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:06 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:07 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:07 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:07 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:08 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:08 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:08 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:09 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:09 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:09 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:10 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:10 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:10 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:15 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:15 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:15 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:16 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:16 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:16 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:17 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:17 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:17 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:18 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:18 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:18 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:19 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:19 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:19 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
156 datagrams seen
